ST_NM,ST_CEN_CD,p_cancer_all_fe,p_cancer_ur_fe,p_cancer_ru_fe,t_cancer_all_fe,t_cancer_ur_fe,t_cancer_ru_fe,dk_cancer_all_fe,dk_cancer_ur_fe,dk_cancer_ru_fe,p_asthma_all_fe,p_asthma_ur_fe,p_asthma_ru_fe,t_asthma_all_fe,t_asthma_ur_fe,t_asthma_ru_fe,dk_asthma_all_fe,dk_asthma_ur_fe,dk_asthma_ru_fe,p_diabetes_all_fe,p_diabetes_ur_fe,p_diabetes_ru_fe,t_diabetes_all_fe,t_diabetes_ur_fe,t_diabetes_ru_fe,dk_diabetes_all_fe,dk_diabetes_ur_fe,dk_diabetes_ru_fe,p_thyroid_all_fe,p_thyroid_ur_fe,p_thyroid_ru_fe,t_thyroid_all_fe,t_thyroid_ur_fe,t_thyroid_ru_fe,dk_thyroid,dk_thyroid_ur,dk_thyroid_ru,p_heart_all_fe,p_heart_ur_fe,p_heart_ru_fe,t_heart_all_fe,t_heart_ur_fe,t_heart_ru_fe,dk_heart_all_fe,dk_heart_ur_fe,dk_heart_ru_fe,state,p_cancer_all_ma,p_cancer_ur_ma,p_cancer_ru_ma,t_cancer_all_ma,t_cancer_ur_ma,t_cancer_ru_ma,dk_cancer_all_ma,dk_cancer_ur_ma,dk_cancer_ru_ma,p_asthma_all_ma,p_asthma_ur_ma,p_asthma_ru_ma,t_asthma_all_ma,t_asthma_ur_ma,t_asthma_ru_ma,dk_asthma_all_ma,dk_asthma_ur_ma,dk_asthma_ru_ma,p_diabetes_all_ma,p_diabetes_ur_ma,p_diabetes_ru_ma,t_diabetes_all_ma,t_diabetes_ur_ma,t_diabetes_ru_ma,dk_diabetes_all_ma,dk_diabetes_ur_ma,dk_diabetes_ru_ma,p_thyroid_all_ma,p_thyroid_ur_ma,p_thyroid_ru_ma,t_thyroid_all_ma,t_thyroid_ur_ma,t_thyroid_ru_ma,dk_thyroid,dk_thyroid_ur,dk_thyroid_ru,p_heart_all_ma,p_heart_ur_ma,p_heart_ru_ma,t_heart_all_ma,t_heart_ur_ma,t_heart_ru_ma,dk_heart_all_ma,dk_heart_ur_ma,dk_heart_ru_ma
Assam,18,0.000951745,0.001373593,0.000877288,0.654982567,0.728344917,0.634708524,0.004107185,0.003191867,0.004268566,0.009514289,0.010678204,0.009308632,0.658054173,0.768643558,0.635638773,0.004921794,0.00309286,0.005244257,0.010514297,0.025714584,0.007841531,0.748882174,0.819349825,0.708249331,0.016168999,0.018426107,0.015771043,0.017028559,0.037286162,0.013457458,0.674569845,0.833176672,0.597102165,0.006545465,0.006678223,0.006522059,0.012756752,0.013996298,0.012537581,0.323433548,0.205940947,0.369626552,0.005421093,0.003006182,0.005846871,18,0.00074162,0,0.00089547,1,NA,1,0.003794565,0.005269591,0.00348802,0.006184953,0.009782991,0.005440049,0.435173213,0.644695699,0.357166171,0.003987156,0.007135994,0.003332753,0.014225961,0.026364682,0.011736215,0.621420443,0.679411709,0.594700336,0.010844442,0.02157077,0.008615259,0.002982694,0.003410878,0.00289401,0.619512856,0.764766216,0.584055722,0.002970416,0.005786414,0.002385185,0.008791558,0.013544855,0.007803238,0.605871975,0.765667439,0.527163744,0.005662828,0.005269591,0.005744552
West Bengal,19,0.001412962,0.002666919,0.000812439,0.935482979,1,0.83405906,0.00809513,0.003278272,0.010385485,0.03310439,0.031742528,0.033756562,0.707259297,0.704687595,0.708417356,0.007221455,0.002429864,0.009499796,0.017822225,0.02818081,0.01283539,0.877364278,0.923713565,0.82837373,0.031106021,0.022944825,0.034986567,0.032871149,0.050797574,0.024248488,0.914930105,0.94978261,0.879811287,0.017543785,0.009848641,0.021202726,0.019719182,0.017504947,0.020779364,0.316635489,0.196518824,0.407454759,0.008755174,0.004080671,0.010977841,19,0.001725021,0.005012477,0,1,1,NA,0.011565156,0,0.017527353,0.020559406,0.026659574,0.017412949,0.686258018,0.848729253,0.557954848,0.000342042,0,0.000518376,0.016792525,0.022684837,0.013737586,0.776533604,0.825858355,0.734305024,0.004672157,0.000946045,0.006593083,0.004539587,0.007453,0.003034408,0.759272635,1,0.453802586,0.001413264,0,0.002141845,0.019387949,0.018466905,0.019863581,0.747298479,0.669163704,0.813670993,0.001118576,0,0.001695237
Jharkhand,20,0.000443466,0.000109656,0.000570043,0.651594818,0.593175292,0.655856133,0.001402731,0.001208161,0.001476491,0.006570545,0.007403537,0.006254126,0.6788854,0.821042478,0.614961565,0.002842039,0.001377856,0.003397097,0.006616212,0.012966178,0.004209033,0.87450254,0.950245142,0.786050737,0.004315445,0.004325335,0.004311696,0.010959881,0.026238,0.005164306,0.870088696,0.912240386,0.788850546,0.002407519,0.001934934,0.002586672,0.006716423,0.007209297,0.006529595,0.324620754,0.186255455,0.502687991,0.002252779,0.002316225,0.002228728,20,0.012950459,0.001666904,0.017885774,0.900838971,1,0.896796823,0.001199079,0,0.001722641,0.014520363,0.007809499,0.01745596,0.807785809,0.671067774,0.834541917,0.001277879,0,0.001835848,0.023032218,0.017611859,0.025404435,0.756680548,0.66016382,0.785964191,0.001610875,0,0.002314242,0.007111981,0.005269398,0.007918705,0.936476827,0.806050897,0.974475563,0.001885299,0,0.002708489,0.017064163,0.006813164,0.021547504,0.821578264,0.526463926,0.887825727,0.00114561,0,0.001645826
Odisha,21,0.000607571,0.000971554,0.00052936,0.92032963,1,0.888910353,0.025021248,0.018482331,0.026414935,0.025760164,0.032535709,0.024305517,0.714980364,0.835568249,0.680324793,0.028909812,0.023082353,0.030151859,0.016292492,0.028000109,0.013753218,0.766225934,0.902737617,0.705946863,0.063750528,0.050200563,0.066638529,0.012850305,0.028233526,0.009544043,0.819438756,0.844557285,0.803468287,0.030968087,0.024272071,0.032395255,0.011591602,0.012548434,0.011385608,0.377803475,0.247990072,0.440566957,0.02923586,0.021173546,0.03095424,21,0.001844972,0,0.002357016,0.682668269,NA,0.682668269,0.019381048,0.011829805,0.021456363,0.023722701,0.019271472,0.024969298,0.705588162,0.728648961,0.700603545,0.026893158,0.012436418,0.030866316,0.0337901,0.051391922,0.028833248,0.742923319,0.622290075,0.803473651,0.032266129,0.013640312,0.03738508,0.003481378,0,0.004447829,0.559859037,NA,0.559859037,0.018377461,0.010618823,0.020509774,0.011080946,0.002051448,0.013580604,0.761206865,1,0.750867724,0.019521236,0.013928404,0.021058319
Chhattisgarh,22,0.000912103,0.000967261,0.000893939,0.886513948,0.933478236,0.869779527,0.000723851,0.000358051,0.000844255,0.008636191,0.014662213,0.00665017,0.776657104,0.815917671,0.748128772,0.00176982,0.00080726,0.002086648,0.005494422,0.012465438,0.003194963,0.859761536,0.935482025,0.762310922,0.00341354,0.001801741,0.003944066,0.012624618,0.028881319,0.007273457,0.843307555,0.915622532,0.748788297,0.000953158,0.000919996,0.000964073,0.005830538,0.008640345,0.004905182,0.2582528,0.21129705,0.31166622,0.001014187,0.000606147,0.001148494,22,0.00024684,0,0.000331661,1,NA,1,0.001153265,0.001701931,0.000964589,0.005072009,0.008935895,0.003744532,0.797637701,0.763237298,0.825841427,0.001414695,0.002110432,0.001175443,0.009596287,0.012057826,0.008750897,0.784092724,0.937149286,0.71166265,0.004801432,0.005754142,0.004473812,0.001219944,0.003609114,0.000398964,0.958869994,1,0.831016779,0.00080572,0.001359619,0.000615244,0.007657054,0.015119253,0.005093425,0.863730848,0.762448013,0.984590292,0.000952431,0.001672685,0.000704749
Madhya Pradesh,23,0.00152098,0.001355664,0.001594457,0.756285727,0.707394838,0.774761498,0.001747266,0.00081228,0.002162271,0.018606814,0.018475208,0.018665325,0.629071116,0.676588058,0.608160913,0.002040216,0.000910868,0.002541491,0.011648347,0.017537966,0.009027205,0.781353235,0.800079167,0.765162349,0.007730343,0.005901331,0.008542172,0.014890231,0.026411038,0.009774331,0.795425773,0.862954378,0.714399576,0.002772721,0.00246822,0.002907877,0.018536022,0.018397722,0.018597463,0.492770076,0.362062812,0.599582255,0.002231213,0.001609899,0.00250699,23,0.002126734,0.001197305,0.002564465,0.415714592,1,0.287237763,0.002476679,0.00149284,0.002939365,0.013326941,0.01134411,0.014259245,0.61322248,0.68151015,0.587678492,0.000809996,0.000951582,0.000743411,0.011004548,0.01885185,0.007322293,0.772927821,0.862585187,0.664613426,0.002730774,0.00424302,0.002019585,0.005436094,0.006076016,0.005134969,0.646174431,0.871015072,0.520982325,0.001238451,0.000833492,0.001428897,0.012006587,0.010283659,0.012817577,0.580993056,0.553273857,0.595302045,0.00092668,0.000321744,0.001211173
Gujarat,24,0.001271345,0.001253289,0.001285802,0.874743044,0.777195096,0.950871348,0.001302543,0.000438698,0.001993118,0.013494271,0.012985266,0.013901579,0.628809094,0.630916774,0.627233684,0.000976038,0.00043101,0.001411744,0.011698345,0.014806884,0.009204065,0.791814804,0.815122962,0.761727691,0.005636587,0.003582698,0.007278507,0.00976829,0.015391113,0.005265996,0.903809965,0.932966352,0.8355757,0.001452759,0.000552392,0.00217253,0.003273813,0.003022653,0.003474903,0.222048566,0.132811785,0.382555068,0.001110982,0.000263214,0.001788705,24,0.000534964,0.000344216,0.000704097,0.599367976,1,0.425702691,0.001476277,0.00082686,0.0020514,0.011436511,0.00831458,0.014206208,0.594750881,0.651500642,0.565283954,0.001564528,0.00062259,0.002398707,0.015656739,0.018157611,0.01343757,0.825646877,0.921365559,0.710875511,0.010493389,0.009451501,0.011416083,0.001924164,0.00017794,0.003473351,0.835281193,1,0.82779485,0.001557706,0.00062259,0.002385842,0.006099653,0.00452617,0.007495552,0.726598322,0.928366482,0.677657723,0.001543303,0.00062259,0.002358685
Daman & Diu,25,0.001258457,0.001797521,0,1,1,NA,0.02935406,0.030345829,0.027030835,0.008395408,0.009032614,0.006918749,0.756162047,0.825937092,0.545062661,0.028605375,0.031743404,0.021254528,0.005128477,0.006272642,0.002463995,0.967958689,1,0.778006077,0.024841493,0.026560871,0.020813849,0.002393153,0.002723988,0.001622005,1,1,1,0.030406332,0.031847309,0.027030835,0.003138718,0.003797408,0.001612432,0.394047886,0.449466377,0,0.028678196,0.031847309,0.021254528,25,0,0,0,NA,NA,NA,0.00386855,0.005123741,0,0.000705067,0.000935011,0,1,1,NA,0.00386855,0.005123741,0,0.000214531,0,0.000872335,1,NA,1,0.00386855,0.005123741,0,0.001083967,0,0.004407683,1,NA,1,0.00386855,0.005123741,0,0,0,0,0,NA,0,0.00386855,0.005123741,0
Dadra & Nagar Haveli,26,0,0,0,NA,NA,NA,0.003109037,0.00690099,0,0.016197834,0.021462426,0.011911163,0.821448505,0.838113725,0.796997845,0.003109037,0.00690099,0,0.008127954,0.018144943,0,1,1,NA,0.004663556,0.010351486,0,0.009704219,0.021622265,0,1,1,NA,0.003109037,0.00690099,0,0.005330512,0.006049958,0.004744707,0.354546547,0.218629271,1,0.003109037,0.00690099,0,26,0,0,0,NA,NA,NA,0.254945636,0.054991879,0.48846665,0.006727187,0.009988013,0,0,0,NA,0.250382274,0.062800318,0.469454616,0.019436097,0.020392193,0.017498156,0.351286501,0.5,0,0.246023685,0.062800318,0.460005701,0,0,0,NA,NA,NA,0.250382274,0.062800318,0.469454616,0,0,0,NA,NA,NA,0.254945636,0.054991879,0.48846665
Maharashtra,27,0.000946148,0.000923004,0.000968955,0.760350347,0.963470042,0.569682956,7.5581E-05,0,0.000150049,0.018622573,0.016149975,0.021059252,0.650028408,0.736678839,0.584543109,9.83901E-05,0,0.000195332,0.014389319,0.020022111,0.008842731,0.804058373,0.808665991,0.793785274,0.001102155,0.00140027,0.000808429,0.017570823,0.025561091,0.009705018,0.881119072,0.903127789,0.824055493,0.000777804,0.001215495,0.000346556,0.006330249,0.006382896,0.006278377,0.242340982,0.193118185,0.344692767,0,0,0,27,0.000894213,0.000497512,0.001301731,0.86393702,1,0.810516715,0.001176592,0.001064457,0.001291759,0.014113245,0.00941649,0.018937813,0.687714517,0.897868633,0.580375493,0.000294279,0.000208512,0.000382364,0.015843693,0.018626599,0.012982785,0.901572883,0.946712375,0.834995329,0.001297222,0.000819834,0.001787515,0.002589686,0.002935001,0.002234613,0.909761548,0.950110435,0.855268419,0.000588348,0,0.001192601,0.00634575,0.006510983,0.006176039,0.723459899,0.702622414,0.746741056,0.001094186,0.001064457,0.001124718
Karnataka,29,0.003303793,0.005582401,0.001544282,0.791792989,0.783299506,0.815501511,0.000984183,0.001048928,0.000934182,0.014924092,0.02219091,0.009313307,0.880505085,0.942312181,0.766797543,0.001369045,0.001489711,0.001275858,0.02640781,0.04580703,0.011397212,0.838965833,0.895856619,0.662040949,0.004200845,0.003112307,0.005041497,0.017924227,0.02619528,0.01153734,0.903038621,0.93552506,0.846081436,0.000777958,0.000835343,0.000733641,0.008216901,0.008681093,0.007858435,0.275541097,0.225362554,0.347198009,0.000732131,0.000762168,0.000708935,29,0.000866386,0.000374251,0.00127562,0.523209631,0,0.650854945,0.000490862,0.000675554,0.000337229,0.009521461,0.00766311,0.01106514,0.681285501,0.777353942,0.626019537,0.001888215,0.002647427,0.001256681,0.027343988,0.040339217,0.016557869,0.866323054,0.92691642,0.743796647,0.001605338,0.002801158,0.00061062,0.002826609,0.001199366,0.004179824,0.73302716,0.780132174,0.721786916,0.001275589,0.001425848,0.0011506,0.009640332,0.011731552,0.007898922,0.68619436,0.897580385,0.523630977,0.000586857,0,0.001075023
Goa,30,0.00040456,0,0.001089251,1,NA,1,0,0,0,0.010076636,0.007420407,0.014572136,0.798861027,0.722907364,0.864319503,0,0,0,0.038109399,0.039566953,0.035637494,0.981829941,0.972180068,1,0.003021269,0.002258355,0.004312455,0.017641736,0.01558869,0.021116393,0.892822981,1,0.758915722,0,0,0,0.002063422,0.000636675,0.004478102,0.053429659,0,0.112663954,0,0,0,30,0.002211621,0.00226576,0.002121127,0.641000211,1,0,0,0,0,0.007709849,0.004716676,0.012713055,0.703419209,1,0.51949209,0,0,0,0.039562766,0.039393593,0.039845537,0.94355154,1,0.850265861,0,0,0,0.00141765,0.00226576,0,1,1,NA,0,0,0,0.002938496,0.00226576,0.004063001,1,1,1,0,0,0
Lakshadweep,31,0.000838393,0.001061117,0,1,1,NA,0.000871639,0.00110294,0,0.030888047,0.027381286,0.044166837,0.863332987,0.919301331,0.731945992,0.001007691,0,0.004805102,0.037929416,0.039141838,0.033379097,0.688983619,0.618314743,1,0.008007661,0.0088575,0.004805102,0.057159953,0.058986016,0.050116729,0.915284276,0.949803352,0.758580029,0.008098592,0.003295816,0.026197514,0.004729446,0.002159183,0.014415305,0.063827872,0.01781028,0.228021353,0,0,0,31,0,0,0,NA,NA,NA,0,0,0,0.016277781,0.007238585,0.044622429,0.337167382,1,0,0.005641404,0.007427103,0,0.015854968,0.020911166,0,1,1,NA,0.005641404,0.007427103,0,0.005418498,0.007146474,0,1,1,NA,0.005641404,0.007427103,0,0.027447112,0.022010529,0.044622429,0.835909128,0.756273568,1,0,0,0
Kerala,32,0.001659894,0.001634351,0.001682445,0.748750687,0.519400001,0.945434928,0.001117276,0.000972367,0.001245167,0.031435072,0.032762516,0.030263215,0.777604401,0.705111742,0.846885383,0.00073528,0.000599135,0.000855437,0.043800533,0.044453088,0.043224085,0.827593327,0.795469284,0.856777608,0.011856313,0.011377431,0.012278956,0.08138679,0.08446417,0.078668348,0.860002518,0.849349082,0.870106697,0.003485736,0.003007284,0.003908001,0.013203086,0.015096997,0.011531185,0.111699969,0.125025645,0.098761529,0.001100378,0.000972367,0.001213356,32,0.000501402,0,0.000950666,1,NA,1,0.010975663,0.009311271,0.012462243,0.010644578,0.009172847,0.011958255,0.875761211,0.875888348,0.875674188,0.005757793,0.006088142,0.005462737,0.058935698,0.05986822,0.058085896,0.777254999,0.779296637,0.775337398,0.02862265,0.018306244,0.037836928,0.005964047,0.000362692,0.010964743,0.710504293,1,0.701955199,0.007788385,0.008024246,0.007577721,0.018167833,0.01823505,0.018107897,0.740864575,0.980448306,0.593915582,0.009724165,0.010597811,0.008943853
Tamil Nadu,33,0.003761233,0.004372487,0.003127651,0.326197475,0.322202593,0.331986398,0.000370139,0.000142146,0.000606351,0.035904977,0.035432253,0.036394771,0.667048395,0.679512858,0.654475331,0.000576243,0.000542222,0.00061149,0.037088353,0.046626914,0.027175706,0.780796826,0.794470727,0.756415725,0.005844678,0.004352098,0.007391059,0.027655076,0.034180153,0.020892143,0.833518386,0.852819383,0.800790191,0.001701924,0.00150959,0.00190119,0.014822505,0.012861562,0.016854804,0.269975424,0.199605495,0.366083205,0.000632023,0.000469988,0.000799899,33,0.01897691,0.018569546,0.019422065,0.046867274,0,0.095834605,0.002267458,0.001589,0.003007807,0.034919135,0.036844566,0.032809831,0.37904346,0.355175197,0.408406466,0.002298683,0.000433786,0.004333701,0.045553833,0.047420241,0.043508049,0.553367794,0.557304323,0.548664927,0.004629442,0.002503234,0.006949607,0.019989025,0.020072795,0.019897396,0.101428621,0.061298147,0.145710781,0.002577479,0.001446769,0.003811335,0.023761235,0.02393825,0.02356757,0.204341367,0.171453387,0.237728894,0.002562436,0.001320362,0.003917815
Puducherry,34,0.00077075,0.000557761,0.001264541,1,1,1,2.69993E-05,3.86444E-05,0,0.022153642,0.022136742,0.022192812,0.637349844,0.590485871,0.745681345,0.000306404,0.00043856,0,0.029317386,0.030353203,0.026923729,0.906329155,0.953178942,0.78427422,0.0022909,0.003279001,0,0.03323175,0.038413502,0.021203872,0.831740975,0.853435636,0.740511596,0.000351881,0,0.001167714,0.008187634,0.008057936,0.008488325,0.184483677,0.169251218,0.24205032,2.69993E-05,3.86444E-05,0,34,0.002561563,0.003810831,0,0,0,NA,0,0,0,0.034137007,0.027598897,0.047520146,0.753547668,0.803231537,0.694481969,0.001149572,0.001710215,0,0.037902012,0.017978016,0.078755178,0.872391284,0.760126293,0.924939334,0,0,0,0.002721664,0.004049013,0,0,0,NA,0,0,0,0.002716233,0.004040934,0,0.053773336,0.053773336,NA,0,0,0
Andaman & Nicobar Island,35,0.000105423,0,0.0001875,1,NA,1,0,0,0,0.045334291,0.046414487,0.044493303,0.761851788,0.722078621,0.794154346,0,0,0,0.045846418,0.063329488,0.032210261,0.900380373,0.94359529,0.834109962,0.001017879,0,0.00181035,0.028259451,0.041861624,0.017668409,0.968946755,1,0.911659718,0.000928652,0.000873008,0.000971973,0.007975564,0.007735082,0.008162793,0.218300894,0.161933333,0.303157538,0.00087818,0.000873008,0.000882206,35,0.014787981,0,0.02502363,0.923217833,NA,0.923217833,0,0,0,0.008625838,0,0.014596297,0.934183061,NA,0.934183061,0,0,0,0.052934229,0.072995126,0.038962018,0.933757842,1,0.847320497,0.003673791,0,0.006216642,0.001135453,0,0.001921368,1,NA,1,0,0,0,0.026102414,0.029112512,0.024012294,1,1,1,0.00188072,0,0.003182478
Telangana,36,0.000763034,0.000562185,0.000956012,1,1,1,0.00035026,0,0.000686563,0.035224423,0.041325003,0.029363248,0.73624742,0.736290991,0.736188531,0.000378927,5.85242E-05,0.000686563,0.022439448,0.031822428,0.013415611,0.890302241,0.951256633,0.75124985,0.002679481,0.001847617,0.003478199,0.045640256,0.062839009,0.029109878,0.906655312,0.931107402,0.855922222,0.000581576,5.85242E-05,0.001083786,0.016785426,0.014938457,0.018559935,0.2316356,0.165255278,0.343221307,0.000642998,0.000316203,0.00095677,36,0.001122812,0.000883142,0.001346446,1,1,1,0.000654507,0,0.001264452,0.018437618,0.008880503,0.027342943,0.727581084,0.802715063,0.704843104,0.001067456,0.001132173,0.001007144,0.028951466,0.032152064,0.025932772,0.836673796,0.815171421,0.861817777,0.007298638,0.001132173,0.013045273,0.006063564,0.00843087,0.003859929,0.927976012,0.892551899,1,0.000546137,0.001132173,0,0.015402064,0.012164188,0.018416079,0.638101578,0.378665298,0.80426836,0.000546137,0.001132173,0
Andhra Pradesh,28,0.00094614,0.000664147,0.001076604,0.932674766,0.696781218,1,0.000240888,0,0.000352296,0.029739382,0.035202846,0.02721102,0.746252716,0.737131476,0.751713514,0.000426773,0,0.000624151,0.024031818,0.036070697,0.018454144,0.929358542,0.949664712,0.910969675,0.004597777,0.003395648,0.005153746,0.038337611,0.057185505,0.029619718,0.891784608,0.922522664,0.864335418,0.001980656,0.001904867,0.002015707,0.014257615,0.010357715,0.016062597,0.209813774,0.106099077,0.285404325,0.000502811,0,0.000735356,37,0.001759219,0.002660749,0.001282421,1,1,1,0.002272718,0.00138022,0.002744094,0.018964931,0.011294981,0.023025816,0.558238268,0.555948734,0.558832884,0.001606509,0,0.002454994,0.04089015,0.04993733,0.036064569,0.876170456,0.941557109,0.827878952,0.009153537,0.002760441,0.012530078,0.006052459,0.004847366,0.006689407,0.509516716,0.21831809,0.621046543,0.000486346,0,0.000743212,0.014614897,0.015039448,0.014390045,0.604489565,0.685954809,0.560859501,0.001815191,0,0.002773893