states,name,state_code,desiredCHC,shortageCHC,totalCHC,activeCHC,totalDH,activeDH,desiredPHC,shortagePHC,totalPHC,activePHC,desiredSC,shortageSC,totalSC,activeSC,totalSDH,activeSDH,totalTotal,activeTotal,ST_NM,state,areaRural,n_rural_hh,n_rural_pop,n_rural_m_pop,n_rural_f_pop,n_rural_nontr_pop,n_rural_tr_pop,n_rural_tr_m_pop,n_rural_tr_f_pop,areaTotal,hhTotal,popTotal,m_popTotal,f_popTotal,tr_popTotal,tr_m_popTotal,tr_f_popTotal,areaUrban,hhUrban,popUrban,m_popUrban,f_popUrban,tr_popUrban,tr_m_popUrban,tr_f_popUrban,id,x_c,y_c
,ANDHRA PRADESH,28,491,,,,,,1966,,,,11970,,,,,,,,,ANDHRA PRADESH,267190.5,14234387,56361702,28243241,28118461,51129572,5232129,2620892,2611237,,21022588,84580777,42442146,42138631,5918073,2969362,2948711,7854.5,6788201,28219075,14198905,14020170,685944,348470,337474,,,
A & N Islands,ANDAMAN & NICOBAR ISLANDS,35,2,-2,4,4,3,3,8,-19,27,27,51,-71,122,122,0,,156,156,Andaman & Nicobar Island,ANDAMAN & NICOBAR ISLANDS,8211.080078125,58530,237093,126287,110806,210378,26715,13837,12878,,94551,380581,202871,177710,28530,14731,13799,37.91999816894531,36021,143488,76584,66904,1815,894,921,1,92.961548,11.216666
Andhra Pradesh,ANDHRA PRADESH,37,300,90,210,209,20,20,1198,-217,1415,1406,7261,-198,7459,7458,44,44,9148,9137,Andhra Pradesh,Andhra Pradesh (new),156085.7275390625,9011144,34776389,17445803,17330586,32483288,2293102,1138376,1154726,,,,,,,,,,,,,,,,,2,79.936127,15.718009
Arunachal Pradesh,ARUNACHAL PRADESH,12,12,-56,68,58,19,17,48,-93,141,120,318,-196,514,362,0,,742,557,Arunanchal Pradesh,ARUNACHAL PRADESH,,200210,1066358,546011,520347,276512,789846,390625,399221,83743,270577,1383727,713912,669815,951821,468390,483431,,70367,317369,167901,149468,161975,77765,84210,3,94.679169,28.035572
Assam,ASSAM,18,239,-21,260,248,37,33,954,-507,1461,1309,5850,90,5760,5571,20,19,7538,7180,Assam,ASSAM,77178.1171875,5420877,26807034,13678989,13128045,23141628,3665405,1847326,1818079,,6406471,31205576,15939443,15266133,3884371,1957005,1927366,1259.880004882813,985594,4398542,2260454,2138088,218966,109679,109287,4,92.831451,26.353363
Bihar,BIHAR,10,775,708,67,62,132,119,3100,1027,2073,1997,18638,8186,10452,10257,43,32,12767,12467,Bihar,BIHAR,91838.28125,16862940,92341436,48073850,44267586,91070584,1270851,648535,622316,94163,18913565,104099452,54278157,49821295,1336573,682516,654057,2324.719970703125,2050625,11758016,6204307,5553709,65722,33981,31741,5,85.611847,25.679369
Chandigarh,CHANDIGARH,4,0,-3,3,2,4,4,1,-43,44,39,6,-44,50,50,1,1,102,96,Chandigarh,CHANDIGARH,4.46999979019165,7140,28991,17150,11841,28991,0,0,0,114,241173,1055450,580663,474787,0,0,0,109.5299987792969,234033,1026459,563513,462946,0,0,0,6,76.781624,30.730167
Chhattisgarh,CHHATTISGARH,22,193,-65,258,177,35,29,775,-299,1074,821,4885,-2154,7039,5390,43,29,8449,6446,Chhattisgarh,CHHATTISGARH,131810.296875,4365568,19607961,9797426,9810535,12376879,7231082,3577134,3653948,135192,5650724,25545198,12832895,12712303,7822902,3873191,3949711,3381.699951171875,1285156,5937237,3035469,2901768,591820,296057,295763,7,82.04258,21.266853
Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,26,2,-1,3,3,1,1,9,-3,12,9,56,-21,77,71,1,1,94,85,Dadara & Nagar Havelli,DADRA & NAGAR HAVELI,445.2999877929688,36094,183114,98305,84809,32170,150944,75049,75895,491,76458,343709,193760,149949,178564,88844,89720,45.70000076293945,40364,160595,95455,65140,27620,13795,13825,8,73.070236,20.194998
Daman & Diu,DAMAN & DIU,25,1,-3,4,4,2,2,2,-3,5,4,14,-12,26,26,0,,37,36,Daman & Diu,DAMAN & DIU,56.38000106811523,12744,60396,32395,28001,52779,7617,3843,3774,111,60956,243247,150301,92946,15363,7771,7592,54.61999893188477,48212,182851,117906,64945,7746,3928,3818,9,72.22744,20.514336
Goa,GOA,30,5,-5,10,8,3,3,19,-28,47,44,122,-96,218,214,2,2,280,271,Goa,GOA,2903.139892578125,128208,551731,275436,276295,464092,87639,43263,44376,,343611,1458545,739140,719405,149275,72948,76327,798.8599853515625,215403,906814,463704,443110,61636,29685,31951,10,74.054626,15.361413
Gujarat,GUJARAT,24,322,-1226,1548,1378,50,42,1290,-531,1821,1672,8009,-1371,9380,9128,304,174,13103,12394,Gujarat,GUJARAT,188840.453125,6773558,34694609,17799159,16895450,26672760,8021848,4042691,3979157,196244,12248428,60439692,31491260,28948432,8917174,4501389,4415785,7403.5400390625,5474870,25745083,13692101,12052982,895326,458698,436628,11,71.584229,22.691895
Haryana,HARYANA,6,138,-23,161,155,27,27,550,-108,658,625,3302,452,2850,2816,25,23,3721,3646,Haryana,HARYANA,42235.921875,3043756,16509359,8774006,7735353,16509359,0,0,0,,4857524,25351462,13494734,11856728,0,0,0,1976.079956054688,1813768,8842103,4720728,4121375,0,0,0,12,76.342972,29.19664
Himachal Pradesh,HIMACHAL PRADESH,2,53,-26,79,79,15,15,212,-328,540,516,1285,-873,2158,2139,76,76,2868,2825,Himachal Pradesh,HIMACHAL PRADESH,55402.1796875,1312510,6176050,3110345,3065705,5801658,374392,186896,187496,55673,1483280,6864602,3481873,3382729,392126,196118,196008,270.8200073242188,170770,688552,371528,317024,17734,9222,8512,13,77.248642,31.924332
Jammu & Kashmir,JAMMU & KASHMIR,1,82,-53,135,129,31,30,327,-410,737,704,2009,-734,2743,2651,0,,3646,3514,Jammu & Kashmir,JAMMU & KASHMIR,220990.09375,1553433,9108060,4774477,4333583,7701227,1406833,730075,676758,222236,2119718,12541302,6640662,5900640,1493299,776257,717042,1245.900024414063,566285,3433242,1866185,1567057,86466,46182,40284,14,76.325722,34.633934
Jharkhand,JHARKHAND,20,241,-91,332,321,24,24,966,553,413,364,6060,1913,4147,3972,13,13,4929,4694,Jharkhand,JHARKHAND,77467.1171875,4729369,25055073,12776486,12278587,17186924,7868150,3928323,3939827,,6254781,32988134,16930315,16057819,8645042,4315407,4329635,2248.8798828125,1525412,7933061,4153829,3779232,776892,387084,389808,15,85.563972,23.656082
Karnataka,KARNATAKA,29,327,10,317,204,42,42,1306,-1271,2577,2495,7951,-1467,9418,9334,539,408,12893,12483,Karnataka,KARNATAKA,185783.453125,7946657,37469335,18929354,18539981,34039544,3429791,1723762,1706029,,13357027,61095297,30966657,30128640,4248987,2134754,2114233,6007.5400390625,5410370,23625962,12037303,11588659,819196,410992,408204,16,76.16925,14.709803
Kerala,KERALA,32,147,-84,231,227,53,53,590,-351,941,930,3552,-2260,5812,5804,359,357,7396,7371,Kerala,KERALA,31253.19921875,4149641,17471135,8408054,9063081,17038044,433092,213208,219884,,7853754,33406061,16027412,17378649,484839,238203,246636,7598.7998046875,3704113,15934926,7619358,8315568,51747,24995,26752,17,76.410301,10.449048
Lakshadweep,LAKSHADWEEP,31,0,-4,4,3,1,1,0,-5,5,4,4,-11,15,15,2,2,27,25,Lakshadweep,LAKSHADWEEP,8.050000190734863,2710,14141,7243,6898,678,13463,6752,6711,30,11574,64473,33123,31350,61120,30515,30605,21.95000076293945,8864,50332,25880,24452,47657,23763,23894,18,72.735054,11.091058
Madhya Pradesh,MADHYA PRADESH,23,497,106,391,376,52,51,1990,669,1321,1286,12415,2741,9674,9480,78,77,11516,11270,Madhya Pradesh,MADHYA PRADESH,300505.59375,11080278,52557404,27149388,25408016,38280528,14276874,7187769,7089105,308252,15093256,72626809,37612306,35014503,15316784,7719404,7597380,7746.41015625,4012978,20069405,10462918,9606487,1039910,531635,508275,19,78.292198,23.53796
Maharashtra,MAHARASHTRA,27,551,41,510,455,141,103,2202,-454,2656,2586,13512,2907,10605,10577,157,144,14069,13865,Maharashtra,MAHARASHTRA,298628.75,13214738,61556074,31539034,30017040,52549996,9006077,4540456,4465621,307713,24421519,112374333,58243056,54131277,10510213,5315025,5195188,9084.25,11206781,50818259,26704022,24114237,1504136,774569,729567,20,76.105896,19.451065
Manipur,MANIPUR,14,21,-23,44,39,9,9,85,-7,92,89,545,-12,557,520,2,1,704,658,Manipur,MANIPUR,22147.5,385520,2021640,1026884,994756,965832,1055808,533856,521952,22327,557859,2855794,1438586,1417208,1167422,588279,579143,179.5,172339,834154,411702,422452,111614,54423,57191,21,93.881226,24.734144
Meghalaya,MEGHALAYA,17,29,-11,40,29,22,21,115,-30,145,118,759,-20,779,610,0,,986,778,Meghalaya,MEGHALAYA,22146.109375,430573,2371439,1194260,1177179,234548,2136891,1070557,1066334,22429,548059,2966889,1491832,1475057,2555861,1269728,1286133,282.8900146484375,117486,595450,297572,297878,418970,199171,219799,22,91.279442,25.535532
Mizoram,MIZORAM,15,6,-3,9,9,10,9,26,-50,76,66,173,-347,520,371,19,15,634,470,Mizoram,MIZORAM,20494,105812,525435,269135,256300,17968,507467,257987,249480,21081,222853,1097206,555339,541867,1036115,516294,519821,587,117041,571771,286204,285567,528648,258307,270341,23,92.836784,23.306532
Delhi,NCT OF DELHI,7,3,-254,257,190,71,67,14,-661,675,567,84,-487,571,525,40,34,1614,1383,NCT of Delhi,NCT OF DELHI,326.4400024414063,79574,419042,226321,192721,419042,0,0,0,1483,3435999,16787941,8987326,7800615,0,0,0,1156.56005859375,3356425,16368899,8761005,7607894,0,0,0,25,77.118919,28.641205
Nagaland,NAGALAND,13,17,-12,29,29,14,14,68,-81,149,143,456,-101,557,553,0,,749,739,Nagaland,NAGALAND,16335.51953125,277491,1407536,725472,682064,100698,1306838,665351,641487,16579,396002,1978502,1024649,953853,1710973,866027,844946,243.4799957275391,118511,570966,299177,271789,404135,200676,203459,24,94.469963,26.06167
Odisha,ODISHA,21,328,-92,420,413,38,36,1316,-39,1355,1353,8193,1502,6691,6691,27,27,8531,8520,Odisha,ODISHA,152355.34375,8089987,34970562,17586203,17384359,25975596,8994967,4428522,4566445,155707,9637820,41974218,21212136,20762082,9590756,4727732,4863024,3351.659912109375,1547833,7003656,3625933,3377723,595789,299210,296579,36,84.429344,20.509457
Puducherry,PUDUCHERRY,34,3,-1,4,4,4,4,13,-28,41,40,79,-2,81,80,8,8,138,136,Puducherry,PUDUCHERRY,335.4400024414063,95018,395200,194907,200293,395200,0,0,0,,302450,1247953,612511,635442,0,0,0,154.5599975585938,207432,852753,417604,435149,0,0,0,26,79.86647,11.981495
Punjab,PUNJAB,3,145,-219,364,297,30,28,578,16,562,523,3469,16,3453,3227,55,47,4464,4122,Punjab,PUNJAB,47847.3984375,3358113,17344192,9093476,8250716,17344192,0,0,0,50362,5513071,27743338,14639465,13103873,0,0,0,2514.60009765625,2154958,10399146,5545989,4853157,0,0,0,27,75.418541,30.842846
Rajasthan,RAJASTHAN,8,466,-156,622,574,36,35,1862,-921,2783,2412,11459,-2998,14457,13580,347,337,18245,16938,Rajasthan,RAJASTHAN,335606.03125,9494903,51500352,26641747,24858605,42807228,8693123,4454816,4238307,342239,12711146,68548437,35550997,32997440,9238534,4742943,4495591,6632.9599609375,3216243,17048085,8909250,8138835,545411,288127,257284,28,73.851044,26.583015
Sikkim,SIKKIM,11,4,2,2,2,5,5,18,-10,28,25,114,-82,196,182,1,1,232,215,Sikkim,SIKKIM,7057.75,93288,456999,242797,214202,289853,167146,86059,81087,7096,129006,610577,323070,287507,206360,105261,101099,38.25,35718,153578,80273,73305,39214,19202,20012,29,88.477348,27.571157
Tamil Nadu,TAMIL NADU,33,313,-121,434,417,33,31,1252,-653,1905,1839,7534,-1181,8715,8712,316,311,11403,11310,Tamil Nadu,TAMIL NADU,116427.96875,9528495,37229590,18679065,18550525,36569312,660280,333178,327102,130060,18524982,72147030,36137975,36009055,794697,401068,393629,13632.0302734375,8996487,34917440,17458910,17458530,134417,67890,66527,30,78.408157,11.014306
Telangana,TELANGANA,36,192,96,96,96,15,15,769,-67,836,836,4709,-36,4745,4745,57,57,5749,5749,Telangana,Telangana,111104.7685546875,5223243,21585313,10797438,10787875,18646286,2939027,1482516,1456511,,,,,,,,,,,,,,,,,31,79.065186,17.799135
Tripura,TRIPURA,16,27,6,21,21,10,10,109,0,109,97,692,-354,1046,1024,11,11,1197,1163,Tripura,TRIPURA,10094.1201171875,616582,2712464,1387173,1325291,1594898,1117566,563908,553658,10486,855556,3673917,1874376,1799541,1166813,588327,578486,391.8800048828125,238974,961453,487203,474250,49247,24419,24828,32,91.743607,23.745291
Uttar Pradesh,UTTAR PRADESH,9,1299,-2422,3721,2955,187,179,5195,1813,3382,3225,31201,10219,20982,20830,10,4,28282,27193,Uttar Pradesh,UTTAR PRADESH,233365.703125,25685942,155317278,80992995,74324283,154286208,1031076,526315,504761,240928,33448035,199812341,104480510,95331831,1134273,581083,553190,7562.2900390625,7762093,44495063,23487515,21007548,103197,54768,48429,33,80.569084,26.92098
Uttarakhand,UTTARAKHAND,5,59,-5,64,60,20,19,239,-54,293,281,1442,-476,1918,1881,27,27,2322,2268,Uttarakhand,UTTARAKHAND,52581.078125,1425086,7036954,3519042,3517912,6772135,264819,134691,130128,53483,2056975,10086292,5137773,4948519,291903,148669,143234,901.9199829101563,631889,3049338,1618731,1430607,27084,13978,13106,34,79.207855,30.153185
West Bengal,WEST BENGAL,19,539,36,503,482,55,50,2154,705,1449,1419,13084,2658,10426,10389,98,85,12531,12425,West Bengal,WEST BENGAL,83632.59375,13813165,62183113,31844945,30338168,57328000,4855115,2428057,2427058,,20380315,91276115,46809027,44467088,5296953,2649974,2646979,5119.41015625,6567150,29093002,14964082,14128920,441838,221917,219921,35,87.98568,23.816919
